,sname,location,url,type,membership,website,nature,feature
1,北京大学, 北京,http://college.gaokao.com/school/1/, 综合, 教育部, www.pku.edu.cn, 本科,211-985
2,中国人民大学, 北京,http://college.gaokao.com/school/2/, 综合, 教育部, www.ruc.edu.cn, 本科,211
3,清华大学, 北京,http://college.gaokao.com/school/3/, 工科, 教育部, www.tsinghua.edu.cn, 本科,985
4,北京航空航天, 北京,http://college.gaokao.com/school/4/, 工科, 工业与信息化部, www.buaa.edu.cn, 本科,211-985
5,北京理工大学, 北京,http://college.gaokao.com/school/5/, 工科, 工业与信息化部, www.bit.edu.cn, 本科,211
6,中国农业大学, 北京,http://college.gaokao.com/school/6/, 农业, 教育部, http://www.cau.edu.cn, 本科,985
7,北京师范大学, 北京,http://college.gaokao.com/school/7/, 师范, 教育部, www.bnu.edu.cn, 本科,211-985
8,中央民族大学, 北京,http://college.gaokao.com/school/8/, 民族, 国家民族事务委员会, www.muc.edu.cn, 本科,211
9,南开大学, 天津,http://college.gaokao.com/school/9/, 综合, 教育部, www.nankai.edu.cn, 本科,985
10,天津大学, 天津,http://college.gaokao.com/school/10/, 工科, 教育部, ——, 本科,211-985
11,大连理工大学, 辽宁,http://college.gaokao.com/school/11/, 工科, 教育部, ——, 本科,211
12,东北大学, 辽宁,http://college.gaokao.com/school/12/, 工科, 教育部, www.neu.edu.cn, 本科,985
13,吉林大学, 吉林,http://college.gaokao.com/school/13/, 综合, 教育部, www.jlu.edu.cn, 本科,211-985
14,哈尔滨工业大, 黑龙江,http://college.gaokao.com/school/14/, 工科, 工业与信息化部, http://www.hit.edu.cn/, 本科,211
15,复旦大学, 上海,http://college.gaokao.com/school/15/, 综合, 教育部, http://www.fudan.edu.cn/, 本科,985
16,同济大学, 上海,http://college.gaokao.com/school/16/, 工科, 教育部, www.tongji.edu.cn, 本科,211-985
17,上海交通大学, 上海,http://college.gaokao.com/school/17/, 综合, 教育部, www.sjtu.edu.cn, 本科,211
18,华东师范大学, 上海,http://college.gaokao.com/school/18/, 师范, 教育部, www.ecnu.edu.cn, 本科,985
19,南京大学, 江苏,http://college.gaokao.com/school/19/, 综合, 教育部, www.nju.edu.cn, 本科,211-985
20,东南大学, 江苏,http://college.gaokao.com/school/20/, 综合, 教育部, www.seu.edu.cn, 本科,211
21,中国矿业大学, 江苏,http://college.gaokao.com/school/21/, 工科, 教育部, http://www.cumt.edu.cn/, 本科,985
22,浙江大学, 浙江,http://college.gaokao.com/school/22/, 综合, 教育部, www.zju.edu.cn, 本科,211-985
23,中国科学技术, 安徽,http://college.gaokao.com/school/23/, 工科, 中国科学院, www.ustc.edu.cn, 本科,211
24,厦门大学, 福建,http://college.gaokao.com/school/24/, 综合, 教育部, http://www.xmu.edu.cn, 本科,985
25,山东大学, 山东,http://college.gaokao.com/school/25/, 综合, 教育部, www.bkzs.sdu.edu.cn, 本科,211-985
26,中国海洋大学, 山东,http://college.gaokao.com/school/26/, 综合, 教育部, http://www.ouc.edu.cn, 本科,211-985
27,武汉大学, 湖北,http://college.gaokao.com/school/27/, 综合, 教育部, www.whu.edu.cn, 本科,211
28,湖南大学, 湖南,http://college.gaokao.com/school/28/, 综合, 教育部, http://www.hnu.edu.cn, 本科,985
29,中山大学, 广东,http://college.gaokao.com/school/29/, 综合, 教育部, www.sysu.edu.cn, 本科,211-985
30,华南理工大学, 广东,http://college.gaokao.com/school/30/, 工科, 教育部, www.scut.edu.cn, 本科,211
31,重庆大学, 重庆,http://college.gaokao.com/school/31/, 综合, 教育部, www.cqu.edu.cn, 本科,985
32,电子科技大学, 四川,http://college.gaokao.com/school/32/, 工科, 教育部, www.uestc.edu.cn, 本科,211-985
33,西安交通大学, 陕西,http://college.gaokao.com/school/33/, 综合, 教育部, http://www.xjtu.edu.cn, 本科,211
34,西北工业大学, 陕西,http://college.gaokao.com/school/34/, 工科, 工业与信息化部, http://www.nwpu.edu.cn, 本科,985
35,兰州大学, 甘肃,http://college.gaokao.com/school/35/, 综合, 教育部, ——, 本科,211-985
36,四川大学, 四川,http://college.gaokao.com/school/36/, 综合, 教育部, www.scu.edu.cn, 本科,211
37,西北农林科技, 陕西,http://college.gaokao.com/school/37/, 农业, 教育部, http://www.nwsuaf.edu.cn/, 本科,985
38,中南大学, 湖南,http://college.gaokao.com/school/38/, 综合, 教育部, www.csu.edu.cn, 本科,211-985
39,华中科技大学, 湖北,http://college.gaokao.com/school/39/, 工科, 教育部, www.hust.edu.cn, 本科,211
40,东北大学秦皇, 河北,http://college.gaokao.com/school/40/, 工科, 教育部, http://www.neuq.edu.cn, 本科,985
41,山东大学威海, 山东,http://college.gaokao.com/school/41/, 综合, 教育部, http://www.wh.sdu.edu.cn, 本科,211-985
42,哈尔滨工业大, 山东,http://college.gaokao.com/school/42/, 综合, ——, www.hitwh.edu.cn, 本科,211
43,北京交通大学, 北京,http://college.gaokao.com/school/43/, 工科, 教育部, http://www.bjtu.edu.cn, 本科,985
44,北京工业大学, 北京,http://college.gaokao.com/school/44/, 工科, 北京市教育委员会, www.bjut.edu.cn, 本科,211-985
45,北京科技大学, 北京,http://college.gaokao.com/school/45/, 工科, 教育部, www.ustb.edu.cn, 本科,211
46,北京化工大学, 北京,http://college.gaokao.com/school/46/, 工科, 教育部, www.goto.buct.edu.cn, 本科,985
47,北京邮电大学, 北京,http://college.gaokao.com/school/47/, 工科, 教育部, http://zsb.bupt.edu.cn, 本科,211-985
48,北京林业大学, 北京,http://college.gaokao.com/school/48/, 林业, 教育部, www.bjfu.edu.cn, 本科,211
49,北京协和医学, 北京,http://college.gaokao.com/school/49/, 医药, 卫生部, www.pumc.edu.cn, 本科,985
50,北京中医药大, 北京,http://college.gaokao.com/school/50/, 医药, 教育部, www.bucm.edu.cn, 本科,211-985
51,北京外国语大, 北京,http://college.gaokao.com/school/51/, 语言, 教育部, www.bfsu.edu.cn, 本科,211
52,中央财经大学, 北京,http://college.gaokao.com/school/52/, 财经, 教育部, www.cufe.edu.cn, 本科,985
53,对外经济贸易, 北京,http://college.gaokao.com/school/53/, 财经, 教育部, zhaosheng.uibe.edu.cn, 本科,211-985
54,北京体育大学, 北京,http://college.gaokao.com/school/54/, 体育, 国家体育总局, www.bsu.edu.cn, 本科,211
55,中央音乐学院, 北京,http://college.gaokao.com/school/55/, 艺术, 教育部, www.ccom.edu.cn, 本科,985
56,中国政法大学, 北京,http://college.gaokao.com/school/56/, 政法, 教育部, www.cupl.edu.cn, 本科,211-985
