,year,pc,type,score,province
1,2019,本科批,综合,403,上海
2,2019,本科批,文科,480,北京
3,2019,本科批,理科,423,北京
4,2019,本科批,文科,428,天津
5,2019,本科批,理科,400,天津
6,2019,本科批,文科,503,山东
7,2019,本科批,理科,443,山东
8,2019,本科批,文科,455,广东
9,2019,本科批,理科,390,广东
10,2019,本科批,文科,593,海南
11,2019,本科批,理科,539,海南
12,2019,本科批,文科,482,辽宁
13,2019,本科批,理科,369,辽宁
14,2019,本科一批,文科,560,云南
15,2019,本科一批,理科,535,云南
16,2019,本科一批,文科,522,内蒙古
17,2019,本科一批,理科,477,内蒙古
18,2019,本科一批,文科,544,吉林
19,2019,本科一批,理科,530,吉林
20,2019,本科一批,文科,540,四川
21,2019,本科一批,理科,547,四川
22,2019,本科一批,文科,538,宁夏
23,2019,本科一批,理科,457,宁夏
24,2019,本科一批,文科,550,安徽
25,2019,本科一批,理科,496,安徽
26,2019,本科一批,文科,542,山西
27,2019,本科一批,理科,507,山西
28,2019,本科一批,文科,521,广西
29,2019,本科一批,理科,509,广西
30,2019,本科一批,文科,510,新疆
31,2019,本科一批,理科,450,新疆
32,2019,本科一批,文科,339,江苏
33,2019,本科一批,理科,345,江苏
34,2019,本科一批,文科,558,江西
35,2019,本科一批,理科,522,江西
36,2019,本科一批,文科,549,河北
37,2019,本科一批,理科,502,河北
38,2019,本科一批,文科,536,河南
39,2019,本科一批,理科,502,河南
40,2019,本科一批,文科,595,浙江
41,2019,本科一批,理科,595,浙江
42,2019,本科一批,文科,542,湖北
43,2019,本科一批,理科,505,湖北
44,2019,本科一批,文科,553,湖南
45,2019,本科一批,理科,500,湖南
46,2019,本科一批,文科,519,甘肃
47,2019,本科一批,理科,470,甘肃
48,2019,本科一批,文科,550,福建
49,2019,本科一批,理科,493,福建
50,2019,本科一批,文科,420,西藏
51,2019,本科一批,理科,425,西藏
52,2019,本科一批,文科,542,贵州
53,2019,本科一批,理科,470,贵州
54,2019,本科一批,文科,545,重庆
55,2019,本科一批,理科,525,重庆
56,2019,本科一批,文科,518,陕西
57,2019,本科一批,理科,468,陕西
58,2019,本科一批,文科,488,青海
59,2019,本科一批,理科,407,青海
60,2019,本科一批,文科,500,黑龙江
61,2019,本科一批,理科,477,黑龙江
62,2019,本科二批,文科,480,云南
63,2019,本科二批,理科,435,云南
64,2019,本科二批,文科,436,内蒙古
65,2019,本科二批,理科,352,内蒙古
66,2019,本科二批,文科,372,吉林
67,2019,本科二批,理科,350,吉林
68,2019,本科二批,文科,472,四川
69,2019,本科二批,理科,459,四川
70,2019,本科二批,文科,455,宁夏
71,2019,本科二批,理科,381,宁夏
72,2019,本科二批,文科,426,安徽
73,2019,本科二批,理科,426,安徽
74,2019,本科二批,文科,481,山西
75,2019,本科二批,理科,432,山西
76,2019,本科二批,文科,388,广西
77,2019,本科二批,理科,347,广西
78,2019,本科二批,文科,387,新疆
79,2019,本科二批,理科,326,新疆
80,2019,本科二批,文科,277,江苏
81,2019,本科二批,理科,307,江苏
82,2019,本科二批,文科,502,江西
83,2019,本科二批,理科,449,江西
84,2019,本科二批,文科,461,河北
85,2019,本科二批,理科,379,河北
86,2019,本科二批,文科,447,河南
87,2019,本科二批,理科,385,河南
88,2019,本科二批,文科,496,浙江
89,2019,本科二批,理科,496,浙江
90,2019,本科二批,文科,445,湖北
91,2019,本科二批,理科,388,湖北
92,2019,本科二批,文科,523,湖南
93,2019,本科二批,理科,448,湖南
94,2019,本科二批,文科,400,甘肃
95,2019,本科二批,理科,366,甘肃
96,2019,本科二批,文科,464,福建
97,2019,本科二批,理科,393,福建
98,2019,本科二批,文科,320,西藏
99,2019,本科二批,理科,320,西藏
100,2019,本科二批,文科,453,贵州
101,2019,本科二批,理科,369,贵州
102,2019,本科二批,文科,458,重庆
103,2019,本科二批,理科,435,重庆
104,2019,本科二批,文科,400,陕西
105,2019,本科二批,理科,363,陕西
106,2019,本科二批,文科,444,青海
107,2019,本科二批,理科,376,青海
108,2019,本科二批,文科,424,黑龙江
109,2019,本科二批,理科,372,黑龙江
110,2019,本科三批,文科,246,浙江
111,2019,本科三批,理科,246,浙江
112,2019,本科三批,文科,495,湖南
113,2019,本科三批,理科,414,湖南
114,2019,专科批,文科,200,云南
115,2019,专科批,理科,200,云南
116,2019,专科批,文科,160,内蒙古
117,2019,专科批,理科,160,内蒙古
118,2019,专科批,文科,150,四川
119,2019,专科批,理科,150,四川
120,2019,专科批,文科,200,宁夏
121,2019,专科批,理科,200,宁夏
122,2019,专科批,文科,200,安徽
123,2019,专科批,理科,200,安徽
124,2019,专科批,文科,180,广西
125,2019,专科批,理科,180,广西
126,2019,专科批,文科,180,新疆
127,2019,专科批,理科,180,新疆
128,2019,专科批,文科,160,江西
129,2019,专科批,理科,160,江西
130,2019,专科批,文科,220,河北
131,2019,专科批,理科,200,河北
132,2019,专科批,文科,160,河南
133,2019,专科批,理科,160,河南
134,2019,专科批,文科,200,湖北
135,2019,专科批,理科,200,湖北
136,2019,专科批,文科,200,湖南
137,2019,专科批,理科,200,湖南
138,2019,专科批,文科,160,甘肃
139,2019,专科批,理科,160,甘肃
140,2019,专科批,文科,220,福建
141,2019,专科批,理科,220,福建
142,2019,专科批,文科,180,贵州
143,2019,专科批,理科,180,贵州
144,2019,专科批,文科,150,辽宁
145,2019,专科批,理科,150,辽宁
146,2019,专科批,文科,180,重庆
147,2019,专科批,理科,180,重庆
148,2019,专科批,文科,150,陕西
149,2019,专科批,理科,150,陕西
150,2018,本科批,文科,401,上海
151,2018,本科批,理科,401,上海
152,2018,本科批,文科,436,天津
153,2018,本科批,理科,407,天津
154,2018,本科批,文科,505,山东
155,2018,本科批,理科,435,山东
156,2018,本科批,文科,443,广东
