,year,pc,type,score,province
1,2019,本科批,文科,480,北京
2,2019,本科批,理科,423,北京
3,2019,本科批,文科,428,天津
4,2019,本科批,理科,400,天津
5,2019,本科批,文科,503,山东
6,2019,本科批,理科,443,山东
7,2019,本科批,文科,455,广东
8,2019,本科批,理科,390,广东
9,2019,本科批,文科,593,海南
10,2019,本科批,理科,539,海南
11,2019,本科批,文科,482,辽宁
12,2019,本科批,理科,369,辽宁
61,2019,本科二批,文科,480,云南
62,2019,本科二批,理科,435,云南
63,2019,本科二批,文科,436,内蒙古
64,2019,本科二批,理科,352,内蒙古
65,2019,本科二批,文科,372,吉林
66,2019,本科二批,理科,350,吉林
67,2019,本科二批,文科,472,四川
68,2019,本科二批,理科,459,四川
69,2019,本科二批,文科,455,宁夏
70,2019,本科二批,理科,381,宁夏
71,2019,本科二批,文科,426,安徽
72,2019,本科二批,理科,426,安徽
73,2019,本科二批,文科,481,山西
74,2019,本科二批,理科,432,山西
75,2019,本科二批,文科,388,广西
76,2019,本科二批,理科,347,广西
77,2019,本科二批,文科,387,新疆
78,2019,本科二批,理科,326,新疆
79,2019,本科二批,文科,277,江苏
80,2019,本科二批,理科,307,江苏
81,2019,本科二批,文科,502,江西
82,2019,本科二批,理科,449,江西
83,2019,本科二批,文科,461,河北
84,2019,本科二批,理科,379,河北
85,2019,本科二批,文科,447,河南
86,2019,本科二批,理科,385,河南
89,2019,本科二批,文科,445,湖北
90,2019,本科二批,理科,388,湖北
91,2019,本科二批,文科,523,湖南
92,2019,本科二批,理科,448,湖南
93,2019,本科二批,文科,400,甘肃
94,2019,本科二批,理科,366,甘肃
95,2019,本科二批,文科,464,福建
96,2019,本科二批,理科,393,福建
97,2019,本科二批,文科,320,西藏
98,2019,本科二批,理科,320,西藏
99,2019,本科二批,文科,453,贵州
100,2019,本科二批,理科,369,贵州
101,2019,本科二批,文科,458,重庆
102,2019,本科二批,理科,435,重庆
103,2019,本科二批,文科,400,陕西
104,2019,本科二批,理科,363,陕西
105,2019,本科二批,文科,444,青海
106,2019,本科二批,理科,376,青海
107,2019,本科二批,文科,424,黑龙江
108,2019,本科二批,理科,372,黑龙江
151,2018,本科批,文科,436,天津
152,2018,本科批,理科,407,天津
153,2018,本科批,文科,505,山东
154,2018,本科批,理科,435,山东
155,2018,本科批,文科,443,广东
157,2018,本科批,理科,376,广东
159,2018,本科批,文科,579,海南
161,2018,本科批,理科,539,海南
162,2018,本科批,文科,461,辽宁
163,2018,本科批,理科,368,辽宁
214,2018,本科二批,文科,490,云南
215,2018,本科二批,理科,430,云南
216,2018,本科二批,文科,399,内蒙古
217,2018,本科二批,理科,336,内蒙古
218,2018,本科二批,文科,488,北京
219,2018,本科二批,理科,432,北京
220,2018,本科二批,文科,432,吉林
221,2018,本科二批,理科,405,吉林
222,2018,本科二批,文科,492,四川
223,2018,本科二批,理科,458,四川
224,2018,本科二批,文科,498,宁夏
225,2018,本科二批,理科,432,宁夏
226,2018,本科二批,文科,486,安徽
227,2018,本科二批,理科,432,安徽
228,2018,本科二批,文科,476,山西
229,2018,本科二批,理科,432,山西
230,2018,本科二批,文科,403,广西
231,2018,本科二批,理科,345,广西
232,2018,本科二批,文科,375,新疆
233,2018,本科二批,理科,333,新疆
234,2018,本科二批,文科,281,江苏
235,2018,本科二批,理科,285,江苏
236,2018,本科二批,文科,496,江西
237,2018,本科二批,理科,447,江西
238,2018,本科二批,文科,441,河北
239,2018,本科二批,理科,358,河北
240,2018,本科二批,文科,436,河南
241,2018,本科二批,理科,374,河南
244,2018,本科二批,文科,441,湖北
245,2018,本科二批,理科,375,湖北
246,2018,本科二批,文科,526,湖南
247,2018,本科二批,理科,450,湖南
248,2018,本科二批,文科,456,甘肃
249,2018,本科二批,理科,436,甘肃
250,2018,本科二批,文科,446,福建
251,2018,本科二批,理科,378,福建
252,2018,本科二批,文科,335,西藏
253,2018,本科二批,理科,335,西藏
254,2018,本科二批,文科,477,贵州
255,2018,本科二批,理科,379,贵州
256,2018,本科二批,文科,434,重庆
257,2018,本科二批,理科,428,重庆
258,2018,本科二批,文科,469,陕西
259,2018,本科二批,理科,425,陕西
260,2018,本科二批,文科,424,青海
261,2018,本科二批,理科,365,青海
262,2018,本科二批,文科,406,黑龙江
263,2018,本科二批,理科,353,黑龙江
319,2017,本科批,文科,483,山东
320,2017,本科批,理科,433,山东
321,2017,本科批,文科,578,海南
322,2017,本科批,理科,539,海南
377,2017,本科二批,文科,465,云南
378,2017,本科二批,理科,410,云南
379,2017,本科二批,文科,375,内蒙古
380,2017,本科二批,理科,328,内蒙古
381,2017,本科二批,文科,468,北京
382,2017,本科二批,理科,439,北京
383,2017,本科二批,文科,412,吉林
384,2017,本科二批,理科,379,吉林
