,sname,location,url,type,membership,website,nature
1,阜阳幼儿师范, 安徽,http://college.gaokao.com/school/282/, 师范, 安徽省教育厅, ——, 高职专科
2,中州大学, 河南,http://college.gaokao.com/school/497/, 工科, 河南省教育厅, www.zhzhu.edu.cn, 高职专科
3,开封大学, 河南,http://college.gaokao.com/school/498/, 工科, 河南省教育厅, www.kfu.edu.cn, 高职专科
4,焦作大学, 河南,http://college.gaokao.com/school/529/, 工科, 河南省教育厅, www.jzu.cn, 高职专科
5,兰州文理学院, 甘肃,http://college.gaokao.com/school/531/, 综合, 甘肃省教育厅, http://www.luas.edu.cn, 高职专科
6,北京青年政治, 北京,http://college.gaokao.com/school/533/, 语言, 北京市教育委员会, ——, 高职专科
7,重庆电力高等, 重庆,http://college.gaokao.com/school/559/, 工科, 重庆市教育委员会, www.cqepc.com.cn, 高职专科
8,河北工程技术, 河北,http://college.gaokao.com/school/737/, 工科, 河北省教育厅, http://www.hbgz.edu.cn, 高职专科
9,承德民族师范, 河北,http://college.gaokao.com/school/738/, 师范, ——, www.hbun.net, 高职专科
10,澳门科技大学, 澳门,http://college.gaokao.com/school/739/, 师范, ——, ——, 高职专科
11,澳门旅游学院, 辽宁,http://college.gaokao.com/school/740/, 师范, ——, ——, 高职专科
12,抚顺师范高等, 辽宁,http://college.gaokao.com/school/741/, 师范, 辽宁省教育厅, www.fstc.cn, 高职专科
13,锦州师范高等, 辽宁,http://college.gaokao.com/school/742/, 师范, 辽宁省教育厅, www.jzsz.com.cn, 高职专科
14,铁岭师范高等, 辽宁,http://college.gaokao.com/school/743/, 师范, 辽宁省教育厅, www.tlsz.com.cn, 高职专科
15,哈尔滨金融高, 黑龙江,http://college.gaokao.com/school/746/, 财经, ——, http://www.hrbjz.edu.cn, 高职专科
16,上海公安学院, 上海,http://college.gaokao.com/school/748/, 政法, 上海市教育委员会, ——, 高职专科
17,宁德师范高等, 福建,http://college.gaokao.com/school/750/, 师范, ——, http://www.ndsy.cn, 高职专科
18,菏泽医学专科, 山东,http://college.gaokao.com/school/751/, 医药, 山东省教育厅, http://www.hzmc.edu.cn, 高职专科
19,郑州牧业工程, 河南,http://college.gaokao.com/school/752/, 农业, 河南省教育厅, www.zzcah.edu.cn, 高职专科
20,郧阳师范高等, 湖北,http://college.gaokao.com/school/753/, 师范, 湖北省教育厅, www.yytc.net.cn, 高职专科
21,南宁师范高等, 广西,http://college.gaokao.com/school/755/, 综合, ——, http://www.gxnun.net/, 高职专科
22,阿坝师范高等, 四川,http://college.gaokao.com/school/756/, 师范, 四川省教育厅, http://www.abtc.edu.cn/, 高职专科
23,黔西南民族师, 贵州,http://college.gaokao.com/school/757/, 师范, ——, http://www.xynun.edu.cn/, 高职专科
24,昭通师范高等, 云南,http://college.gaokao.com/school/758/, 师范, 云南省教育厅, http://www.zttc.edu.cn/, 高职专科
25,思茅师范高等, 云南,http://college.gaokao.com/school/759/, 师范, 云南省教育厅, hhttp://www.peuni.cn, 高职专科
26,保山学院, 云南,http://college.gaokao.com/school/760/, 综合, ——, http://www.bsnc.cn/, 高职专科
27,和田师范专科, 新疆,http://college.gaokao.com/school/762/, 师范, 新疆维吾尔自治区教育厅, http://www.htsz.edu.cn/, 高职专科
28,吕梁高等专科, 山西,http://college.gaokao.com/school/763/, 师范, ——, www.llhc.sx.cn, 高职专科
29,公安海警高等, 浙江,http://college.gaokao.com/school/765/, 政法, ——, www.hjgz.net, 高职专科
30,景德镇学院, 江西,http://college.gaokao.com/school/768/, 综合, 江西省教育厅, www.jcc.jx.cn, 高职专科
31,萍乡学院, 江西,http://college.gaokao.com/school/769/, 综合, 江西省教育厅, www.pxc.jx.cn, 高职专科
32,六盘水师范高, 贵州,http://college.gaokao.com/school/770/, 综合, ——, http://www.lpssz.edu.cn/, 高职专科
33,新疆工业高等, 新疆,http://college.gaokao.com/school/771/, 工科, 新疆维吾尔自治区教育厅, http://www.xgz.edu.cn/, 高职专科
34,新疆警官高等, 新疆,http://college.gaokao.com/school/772/, 政法, 新疆维吾尔自治区教育厅, http://www.xjjz.cn/, 高职专科
35,天津职业大学, 天津,http://college.gaokao.com/school/773/, 工科, 天津市教育委员会, www.tjtc.edu.cn, 高职专科
36,抚顺职业技术, 辽宁,http://college.gaokao.com/school/774/, 综合, 辽宁省教育厅, www.fvti.com, 高职专科
37,牡丹江大学, 黑龙江,http://college.gaokao.com/school/775/, 综合, 黑龙江省教育厅, www.mdjdx.cn, 高职专科
38,镇江市高等专, 江苏,http://college.gaokao.com/school/776/, 工科, 江苏省教育厅, www.zjc.edu.cn, 高职专科
39,南通职业大学, 江苏,http://college.gaokao.com/school/777/, 工科, 江苏省教育厅, www.ntvc.edu.cn, 高职专科
40,铁道警官高等, 河南,http://college.gaokao.com/school/778/, 政法, 公安部, http://www.rpc.edu.cn, 高职专科
41,广州航海高等, 广东,http://college.gaokao.com/school/780/, 工科, 广东省教育厅, www.gzhmt.edu.cn, 高职专科
42,成都工业学院, 四川,http://college.gaokao.com/school/781/, 工科, 四川省教育厅, www.cec.edu.cn, 高职专科
43,私立华联学院, 广东,http://college.gaokao.com/school/782/, 综合, 广东省教育厅, ——, 高职专科
44,太原大学, 山西,http://college.gaokao.com/school/783/, 工科, 山西省教育厅, www.sxtyu.com, 高职专科
45,辽宁农业职业, 辽宁,http://college.gaokao.com/school/784/, 农业, 辽宁省教育厅, www.lnnzy.ln.cn, 高职专科
46,阜新高等专科, 辽宁,http://college.gaokao.com/school/785/, 综合, 辽宁省教育厅, www.fxgz.com.cn, 高职专科
47,沙洲职业工学, 江苏,http://college.gaokao.com/school/786/, 工科, 江苏省教育厅, www.szit.edu.cn, 高职专科
48,淮南联合大学, 安徽,http://college.gaokao.com/school/787/, 工科, 安徽省教育厅, www.hnuu.edu.cn, 高职专科
49,福建商业高等, 福建,http://college.gaokao.com/school/788/, 财经, 福建省教育厅, www.fjsgz.com.cn, 高职专科
50,黎明职业大学, 福建,http://college.gaokao.com/school/789/, 综合, ——, www.lmu.edu.cn, 高职专科
51,信阳农业高等, 河南,http://college.gaokao.com/school/790/, 农业, 河南省教育厅, http://www.xyafc.edu.cn, 高职专科
52,河南机电高等, 河南,http://college.gaokao.com/school/792/, 工科, 河南省教育厅, http://www.hneeu.edu.cn, 高职专科
53,鄂州职业大学, 湖北,http://college.gaokao.com/school/794/, 工科, 湖北省教育厅, www.ezu.cn, 高职专科
54,广西体育高等, 广西,http://college.gaokao.com/school/795/, 体育, 广西壮族自治区教育厅, www.gxtznn.com, 高职专科
55,集宁师范高等, 内蒙古,http://college.gaokao.com/school/797/, 综合, ——, www.jntc.nm.cn, 高职专科
56,辽宁警官高等, 辽宁,http://college.gaokao.com/school/798/, 政法, 辽宁省教育厅, http://www.lnpc.cn, 高职专科
57,长春汽车工业, 吉林,http://college.gaokao.com/school/799/, 工科, 吉林省教育厅, http://www.caii.edu.cn, 高职专科
58,长春金融高等, 吉林,http://college.gaokao.com/school/800/, 财经, 吉林省教育厅, www.cjgz.edu.cn, 高职专科
59,吉林公安高等, 吉林,http://college.gaokao.com/school/801/, 政法, ——, www.jljcxy.com, 高职专科
60,扬州市职业大, 江苏,http://college.gaokao.com/school/803/, 工科, 江苏省教育厅, www.yzpc.edu.cn, 高职专科
61,南京森林公安, 江苏,http://college.gaokao.com/school/805/, 政法, ——, www.forestpolice.net, 高职专科
62,浙江水利水电, 浙江,http://college.gaokao.com/school/806/, 工科, 浙江省教育厅, www.zjwchc.com, 高职专科
63,福建华南女子, 福建,http://college.gaokao.com/school/807/, 综合, 福建省教育厅, www.hnwomen.com.cn, 高职专科
64,辽宁交通高等, 辽宁,http://college.gaokao.com/school/808/, 工科, 辽宁省教育厅, www.lncc.edu.cn, 高职专科
65,江西公安专科, 江西,http://college.gaokao.com/school/809/, 政法, ——, www.jxga.com, 高职专科
66,九江职业大学, 江西,http://college.gaokao.com/school/810/, 综合, 江西省教育厅, www.jjvu.jx.cn, 高职专科
67,新余高等专科, 江西,http://college.gaokao.com/school/811/, 综合, ——, www.xyc.edu.cn, 高职专科
68,湖南财经高等, 湖南,http://college.gaokao.com/school/812/, 财经, ——, www.hufe.edu.cn, 高职专科
69,湖南公安高等, 湖南,http://college.gaokao.com/school/813/, 政法, ——, www.hnpolice.com, 高职专科
70,湖南女子职业, 湖南,http://college.gaokao.com/school/814/, 语言, ——, www.hnnd.com.cn, 高职专科
71,广西科技师范, 广西,http://college.gaokao.com/school/815/, 师范, 广西壮族自治区教育厅, http://www.gxlztc.net/, 高职专科
72,邕江大学, 广西,http://college.gaokao.com/school/816/, 工科, 广西壮族自治区教育厅, http://www.nnxy.cn/, 高职专科
73,四川旅游学院, 四川,http://college.gaokao.com/school/817/, 工科, 四川省教育厅, ——, 高职专科
74,成都纺织高等, 四川,http://college.gaokao.com/school/818/, 工科, 四川省教育厅, www.cdtc.edu.cn, 高职专科
75,文山师范高等, 云南,http://college.gaokao.com/school/819/, 师范, ——, http://www.wsu.edu.cn, 高职专科
76,信阳农业高等, 河南,http://college.gaokao.com/school/790/, 农业, 河南省教育厅, http://www.xyafc.edu.cn, 高职专科
77,河南机电高等, 河南,http://college.gaokao.com/school/792/, 工科, 河南省教育厅, http://www.hneeu.edu.cn, 高职专科
78,鄂州职业大学, 湖北,http://college.gaokao.com/school/794/, 工科, 湖北省教育厅, www.ezu.cn, 高职专科
79,广西体育高等, 广西,http://college.gaokao.com/school/795/, 体育, 广西壮族自治区教育厅, www.gxtznn.com, 高职专科
80,集宁师范高等, 内蒙古,http://college.gaokao.com/school/797/, 综合, ——, www.jntc.nm.cn, 高职专科
81,辽宁警官高等, 辽宁,http://college.gaokao.com/school/798/, 政法, 辽宁省教育厅, http://www.lnpc.cn, 高职专科
82,长春汽车工业, 吉林,http://college.gaokao.com/school/799/, 工科, 吉林省教育厅, http://www.caii.edu.cn, 高职专科
