,name,rankall,name_type,rank_type,edu,limit_year,view_total
1,哲学,22,哲学类,1,本科,四年,53233
2,逻辑学,55,哲学类,2,本科,四年,23712
3,宗教学,706,哲学类,4,本科,四年,14406
4,伦理学,678,哲学类,3,本科,四年,17939
5,经济学,691,经济学类,12,本科,四年,15822
6,经济统计学,901,经济学类,15,本科,四年,5655
7,国民经济管理,58,经济学类,5,本科,四年,23660
8,资源与环境经济学,26,经济学类,4,本科,四年,47358
9,商务经济学,2,经济学类,1,本科,四年,404235
10,能源经济,84,经济学类,8,本科,四年,22314
11,财政学,16,财政学类,2,本科,四年,59507
12,税收学,964,财政学类,16,本科,四年,4575
13,金融学,738,金融学类,13,本科,四年,11845
14,金融工程,24,金融学类,3,本科,四年,50002
15,保险学,1043,金融学类,17,本科,四年,3591
16,投资学,145,金融学类,9,本科,四年,21346
17,金融数学,68,金融学类,7,本科,四年,23030
18,信用管理,682,金融学类,11,本科,四年,16887
19,经济与金融,60,金融学类,6,本科,四年,23452
20,精算学,1048,金融学类,18,本科,四年,3547
21,国际经济与贸易,870,经济与贸易类,14,本科,四年,6590
22,贸易经济,664,经济与贸易类,10,本科,四年,20024
23,法学,746,法学类,8,本科,四年,11397
24,知识产权,756,法学类,9,本科,四年,10845
25,监狱学,801,法学类,15,本科,四年,8726
26,政治学与行政学,1044,政治学类,25,本科,四年,3583
27,国际政治,789,政治学类,14,本科,四年,9272
28,外交学,828,政治学类,16,本科,四年,7733
29,国际事务与国际关系,911,政治学类,19,本科,四年,5437
30,政治学、经济学与哲学,131,政治学类,1,本科,四年,21446
31,哲学,22,哲学类,1,本科,四年,53233
32,逻辑学,55,哲学类,2,本科,四年,23712
33,宗教学,706,哲学类,4,本科,四年,14406
34,伦理学,678,哲学类,3,本科,四年,17939
35,经济学,691,经济学类,12,本科,四年,15822
36,经济统计学,901,经济学类,15,本科,四年,5655
37,国民经济管理,58,经济学类,5,本科,四年,23660
38,资源与环境经济学,26,经济学类,4,本科,四年,47358
39,商务经济学,2,经济学类,1,本科,四年,404235
40,能源经济,84,经济学类,8,本科,四年,22314
41,财政学,16,财政学类,2,本科,四年,59507
42,税收学,964,财政学类,16,本科,四年,4575
